Date,Close Price
2020-08-27,447.75
2020-08-28,442.679993
2020-08-31,498.320007
2020-09-01,475.049988
2020-09-02,447.369995
2020-09-15,449.76001
2020-09-21,449.390015
2020-10-01,448.160004
2020-10-12,442.299988
2020-10-13,446.649994
2020-10-14,461.299988
2020-10-15,448.880005
2020-11-18,486.640015
2020-11-19,499.269989
2020-11-20,489.609985
2020-11-23,521.849976
2020-11-24,555.380005
2020-11-25,574.0
2020-11-27,585.76001
2020-11-30,567.599976
2020-12-01,584.76001
2020-12-02,568.820007
2020-12-03,593.380005
2020-12-04,599.039978
2020-12-09,604.47998
2021-01-07,816.039978
2021-01-08,880.02002
2021-01-12,849.440002
2021-01-13,854.409973
2021-01-14,845.0
2021-01-15,826.159973
2021-01-19,844.549988
2021-01-20,850.450012
2021-01-21,844.98999
2021-01-22,846.640015
2021-01-25,880.799988
2021-01-26,883.090027
2021-01-27,864.159973
2021-01-28,835.429993
2021-02-01,839.809998
2021-02-02,872.789978
2021-02-03,854.690002
2021-02-04,849.98999
2021-02-05,852.22998
2021-02-08,863.419983
2021-02-09,849.460022
2021-02-12,816.119995
2021-03-05,597.950012
2021-03-08,563.0
2021-05-12,589.890015
2021-05-13,571.690002
2021-05-14,589.73999
2021-05-17,576.830017
2021-05-18,577.869995
2021-05-19,563.460022
2021-05-20,586.780029
2021-05-21,580.880005
2021-05-24,606.440002
2021-05-25,604.690002
2021-06-02,605.119995
2021-06-03,572.840027
2021-06-04,599.049988
2021-06-07,605.130005
2021-06-08,603.590027
2021-06-09,598.780029
2021-06-15,599.359985
2021-06-16,604.869995
2021-10-05,780.590027
2021-10-14,818.320007
2021-10-15,843.030029
2021-10-18,870.109985
2021-10-19,864.27002
2021-10-20,865.799988
2021-10-21,894.0
2021-10-22,909.679993
2021-10-25,1024.859985
2021-10-26,1018.429993
2021-10-27,1037.859985
2021-10-28,1077.040039
2021-10-29,1114.0
2021-11-01,1208.589966
2021-11-02,1172.0
2021-11-03,1213.859985
2021-11-04,1229.910034
2021-11-05,1222.089966
2021-11-08,1162.939941
2021-11-09,1023.5
2021-11-10,1067.949951
2021-11-11,1063.51001
2021-11-12,1033.420044
2021-11-15,1013.390015
2021-11-16,1054.72998
2021-11-17,1089.01001
2021-11-18,1096.380005
2021-11-19,1137.060059
2021-11-22,1156.869995
2021-11-23,1109.030029
2021-11-24,1116.0
2021-11-26,1081.920044
2021-11-29,1136.98999
2021-11-30,1144.76001
2021-12-01,1095.0
2021-12-02,1084.599976
2021-12-03,1014.969971
2021-12-06,1009.01001
2021-12-07,1051.75
2021-12-08,1068.959961
2021-12-09,1003.799988
2021-12-10,1017.030029
2021-12-13,966.409973
2021-12-14,958.51001
2021-12-15,975.98999
2021-12-16,926.919983
2021-12-17,932.570007
2021-12-20,899.940002
2021-12-21,938.530029
2021-12-22,1008.869995
2021-12-23,1067.0
2021-12-27,1093.939941
2021-12-28,1088.469971
2021-12-29,1086.189941
2021-12-30,1070.339966
2021-12-31,1056.780029
2022-01-03,1199.780029
2022-01-04,1149.589966
2022-01-05,1088.119995
2022-01-06,1064.699951
2022-01-07,1026.959961
2022-01-10,1058.119995
2022-01-11,1064.400024
2022-01-12,1106.219971
2022-01-13,1031.560059
2022-01-14,1049.609985
2022-01-18,1030.51001
2022-01-19,995.650024
2022-01-20,996.27002
2022-01-21,943.900024
2022-01-24,930.0
2022-01-25,918.400024
2022-01-26,937.409973
2022-01-27,829.099976
2022-01-28,846.349976
2022-01-31,936.719971
2022-02-01,931.25
2022-02-02,905.659973
2022-02-03,891.140015
2022-02-04,923.320007
2022-02-07,907.340027
2022-02-08,922.0
2022-02-09,932.0
2022-02-10,904.549988
2022-02-11,860.0
2022-02-14,875.76001
2022-02-15,922.429993
2022-02-16,923.390015
2022-02-17,876.349976
2022-02-18,856.97998
2022-02-22,821.530029
2022-02-28,870.429993
2022-03-01,864.369995
2022-03-02,879.890015
2022-03-03,839.289978
2022-03-04,838.289978
2022-03-08,824.400024
2022-03-09,858.969971
2022-03-10,838.299988
2022-03-16,840.22998
2022-03-17,871.599976
2022-03-18,905.390015
2022-03-21,921.159973
2022-03-22,993.97998
2022-03-23,999.109985
2022-03-24,1013.919983
